,FIPS,exposure1,exposure2,exposure3,exposure4
0,17001000100,0.00018215980449842623,2.561531646463793e-05,7.446565708062706e-05,0.0007170839332636408
0,17001000201,3.089929918047877e-05,4.3450602575187326e-06,1.2659167432551976e-05,0.00012186890996084771
0,17001000202,5.580918503706446e-05,7.847889057052082e-06,2.281657631598866e-05,0.00021980746028777958
0,17001000400,7.61325231970295e-05,1.070575739973495e-05,3.1106816279221066e-05,0.00029984161670811493
0,17001000500,3.43028261152803e-05,4.823664303954313e-06,1.4023454272234246e-05,0.00013510495031103173
0,17001000600,9.633058985611718e-05,1.354601006069371e-05,3.938096663549334e-05,0.0003793327489406954
0,17001000700,5.094595343851896e-06,7.164021302688937e-07,2.074204201830828e-06,2.0142904384292313e-05
0,17001000800,2.7335563475432914e-05,3.843927649628455e-06,1.1168863754943084e-05,0.00010764554889411086
0,17001000900,5.2812573996465134e-05,7.426505534283519e-06,2.1590739330558467e-05,0.00020798740084568664
0,17001001001,0.0001019018071522071,1.4329434782330636e-05,4.166791239074624e-05,0.0004052045248905967
0,17001001002,8.483178024514848e-05,1.1929047152973177e-05,3.4696113394247396e-05,0.00033505665604537273
0,17001001100,0.00061088491168234,8.590265223056268e-05,0.0002497253059086985,0.0024094302600890733
0,17001010100,5.6798249694331476e-05,7.98697135498077e-06,2.3260816932277736e-05,0.000225880284356915
0,17001010200,1.8633358077013545e-05,2.6202232992940156e-06,7.692882754701851e-06,7.470133735238916e-05
0,17001010300,0.0001068980391009543,1.5032005049411672e-05,4.3730468042507755e-05,0.00042133916647369644
0,17001010400,0.00010466619652247183,1.4718163287753602e-05,4.2816354111320715e-05,0.00041252385108634477
0,17001010500,9.302455043760937e-05,1.3081114711344699e-05,3.802410291579089e-05,0.00036626808789210743
0,17001010600,0.0003478517404826544,4.891492082884444e-05,0.00014219965304848296,0.0013696704836300099
0,17019000200,5.055687206914941e-06,1.0250631106114236e-05,1.8969916542183035e-05,6.186846641535467e-05
0,17019000301,5.3269342638833445e-06,1.0800596601566396e-05,2.0064629216832842e-05,6.589388953303313e-05
0,17019000302,3.956768852206563e-06,8.02252517138662e-06,1.4793970622547514e-05,4.8409737285327297e-05
0,17019000401,6.786863738155662e-06,1.3760668668770199e-05,2.884456239021216e-05,8.767785334513271e-05
0,17019000402,6.669770802516673e-06,1.3523257523807447e-05,2.6918028644694156e-05,8.383020391525908e-05
0,17019000500,4.5684862551279904e-05,9.262809465470548e-05,0.00017127828203442676,0.0005589339317422696
0,17019000700,1.5940808274091354e-05,3.232069913809289e-05,5.974047431327168e-05,0.00019500677988937396
0,17019000800,0.00010141192628602233,0.00020561719971453707,0.00039036022539261285,0.001237981083044873
0,17019000901,5.461713709061859e-05,0.00011073867932775703,0.0002054703395232471,0.0006686878481658022
