"","X.x","GEOID","countyFIPS","POPULATION","POP_DENSITY","Shape_Area","NUM_WORKERS","EMPLOYMENT_DENSITY","No..Hospitals","No..Populated.Places","Total.Points.of.Interest","exposure_entropy","ALAND","cases1","cases2","cases3","cases4","income","X.y","exposure1","exposure2","exposure3","exposure4","county_pop","estimate_cases1","estimate_cases2","estimate_cases3","estimate_cases4","estimate_cases1_density","estimate_cases2_density","estimate_cases3_density","estimate_cases4_density","pop_density_class","income_class","change12exposure","change23exposure","change34exposure","change12casedensity","change23casedensity","change34casedensity"
"41",40,17143003900,17143,6533,0.116307938643275,0.007443049880838,170560,0.038912061367715,1,4,44,2.23203302116317,278604295,3,213,459,5004,123008.111,0,0.000364645990667086,8.4665896272253e-05,0.000260305285082702,0.00107955290538451,186494,0.105091852821002,7.46152155029116,16.0790534816134,175.293210505432,0.000976969500080377,0.0693648345057068,0.149476333512298,1.62958512613407,"1","4",-0.767813445261349,2.07449984638041,3.14725696038605,70,1.15492957746479,9.90196078431373
"42",41,17143004101,17143,6494,0.547595664792333,0.002489461196137,170560,0.1054683405167,0,2,10,2.64914551581006,69788770,3,213,459,5004,117415.143,0,0.000304785437304275,7.07670806221926e-05,0.000217772797283912,0.000902375843770242,186494,0.104464486793141,7.416978562313,15.9830664793505,174.246763970959,0.00387688478811469,0.275258819956143,0.593163372581547,6.4666438265753,"1","4",-0.76781344526135,2.07731780609328,3.14365731177071,70,1.15492957746479,9.90196078431372
"43",42,17143004802,17143,4419,2.23487326149667,0.000277368514774,170560,0.211412965924033,0,1,11,2.58093196461625,7816716,3,213,459,5004,60783.605,0,5.37540310022591e-05,1.24809632617292e-05,3.84960181751339e-05,0.000159365666878548,186494,0.0710853968492284,5.04706317629522,10.8760657179319,118.570441944513,0.0235535201534124,1.67229993089228,3.6036885834721,39.287271615892,"1","2",-0.767813445261349,2.08437877492803,3.13979612523897,70,1.15492957746479,9.90196078431373
"44",43,17143003402,17143,3748,1.9352829507515,0.001382104200116,170560,0.888555721769,0,2,7,2.70732756154496,19533187,3,213,459,5004,114159.208,0,0.000128862071881929,2.99200405067495e-05,9.24062443285207e-05,0.00038131810195448,186494,0.0602914839083295,4.28069535749139,9.22459703797441,100.566195159094,0.00799434026421666,0.567598158759383,1.22313406042515,13.3345595607134,"1","4",-0.76781344526135,2.08843981369863,3.12654041645526,70,1.15492957746479,9.90196078431373
"45",44,17143003601,17143,2759,0.84887046889,0.00159835843584,170560,0.240908146843,0,2,3,2.39455174421115,13200530,3,213,459,5004,61161.786,0,3.28201731022171e-05,7.62040291852991e-06,2.35100799927009e-05,9.74574045347578e-05,186494,0.0443821248940985,3.15113086748099,6.79046510879707,74.0293843233563,0.00870796123153502,0.618265247438987,1.33231806842486,14.5248793342004,"1","2",-0.76781344526135,2.08514920327026,3.14534550988406,70,1.15492957746479,9.90196078431373
"46",45,17143003102,17143,6094,3.9058129082525,0.000163793973563,170560,1.2893475285185,0,0,11,2.63091531759642,6132949,3,213,459,5004,82366.958,0,0.000227132866011328,5.27371976270857e-05,0.000162279576282087,0.000673109653894829,186494,0.0980299634304589,6.96012740356258,14.9985844048602,163.513979002005,0.0413989428715107,2.93932494387726,6.33403825934113,69.0534367096798,"2","3",-0.76781344526135,2.0771368897831,3.1478396069064,70,1.15492957746479,9.90196078431372
"47",46,17143003401,17143,11216,1.42939738525975,0.001047980106795,170560,0.853819576909675,0,2,22,2.45199501613489,35569682,3,213,459,5004,92640.879,0,0.00103066197195167,0.000239305852367603,0.000737657089167452,0.00305756371308704,186494,0.180424035089601,12.8101064913617,27.6048773687089,300.947290529454,0.0131375436778452,0.932765601127013,2.01004418271032,21.9134228546459,"1","3",-0.767813445261349,2.08248662483323,3.14496621531547,70,1.15492957746479,9.90196078431373
"48",47,17143003300,17143,3060,2.43929706477,0.000388740010535,170560,1.2077179220725,0,0,7,2.59433320093129,7318336,3,213,459,5004,111243.549,0,5.45788448040857e-05,1.26724739366762e-05,3.9015332814587e-05,0.000161711251048506,186494,0.0492241037245166,3.49491136444068,7.53128786985104,82.1058050124937,0.017420685337008,1.23686865892757,2.66536485656223,29.0577031421294,"1","4",-0.767813445261349,2.07874634499507,3.14481280518632,70,1.15492957746479,9.90196078431373
"49",48,17143004801,17143,4539,0.997141232635,0.001517570418787,170560,0.379070269638433,0,2,20,2.46456049204778,42753623,3,213,459,5004,83620.762,0,8.85456806474596e-05,2.05591165265224e-05,6.33181829197088e-05,0.000262334032839397,186494,0.073015753858033,5.18411852392034,11.171410340279,121.790277435199,0.00442326963710901,0.31405214423474,0.676760254477678,7.37801375469783,"1","3",-0.76781344526135,2.07981049857005,3.14310740995287,70,1.15492957746479,9.90196078431372
"50",49,17143004901,17143,3740,0.28024341089865,0.003832330512374,170560,0.074218194657062,0,5,18,2.063728835656,139070956,3,213,459,5004,77993.402,0,3.49736121986282e-05,8.12040252316512e-06,2.49744949467926e-05,0.000103546492175734,186494,0.0601627934410759,4.27155833431639,9.20490739648461,100.351539459715,0.0011204469969444,0.0795517367830522,0.171428390532493,1.86890559090326,"1","3",-0.767813445261349,2.07552425825539,3.14608953639849,70,1.15492957746479,9.90196078431373
"51",50,17143000500,17143,1804,6.41907249167333,7.9541365335e-05,170560,1.65495163336833,0,0,13,2.11383762500073,2009823,3,213,459,5004,0,0,2.50017353051208e-06,5.80506678298367e-07,1.78298161888305e-06,7.40257622151921e-06,186494,0.0290197003656954,2.06039872596437,4.4400141559514,48.4048602099799,0.0373968374066528,2.65517545587235,5.72171612321788,62.3779247942968,"2","1",-0.76781344526135,2.07142309561277,3.15179615040369,70,1.15492957746479,9.90196078431373
"52",51,17143002900,17143,4041,3.93724063443667,0.000159427941372,170560,4.01626267673667,1,0,13,2.55017048141537,4477260,3,213,459,5004,69852.144,0,7.27848826353765e-05,1.68996711361651e-05,5.20293223091374e-05,0.000215487761370765,186494,0.065004772271494,4.61533883127607,9.94573015753858,108.427960148852,0.0376038827727604,2.66987567686599,5.75339406423235,62.7232764649644,"2","3",-0.76781344526135,2.07871803480218,3.14165996801618,70,1.15492957746479,9.90196078431373
"53",52,17143004000,17143,4524,0.105329929179767,0.00855715900461,170560,0.017820216744843,0,6,40,1.97860816753025,239484910,3,213,459,5004,80278.942,0,8.24423162586316e-05,1.91419973767659e-05,5.95210623542097e-05,0.000245410271884535,186494,0.0727744592319324,5.1669866054672,11.1344922624857,121.387797998863,0.000787046872434279,0.0558803279428338,0.120418171482445,1.31279418322038,"1","3",-0.767813445261349,2.1094488826153,3.12308285803266,70,1.15492957746479,9.90196078431373
"54",53,17143002200,17143,4237,9.81309421799,3.8699638665e-05,170560,0.7181489558346,0,0,7,2.22434150133354,1820974,3,213,459,5004,48116.832,0,6.97347471831898e-05,1.61914706940357e-05,4.97799460278524e-05,0.000206456623549613,186494,0.0681576887192081,4.83919589906378,10.4281263740388,113.687024783639,0.0969417541286965,6.88286454313745,14.8320883816906,161.698845886666,"3","2",-0.767813445261349,2.07445487618302,3.14738544381103,70,1.15492957746479,9.90196078431373
"55",54,17143004902,17143,4872,0.169533762282467,0.005143626600453,170560,0.00998770807452,0,3,16,2.38984625333499,144356920,3,213,459,5004,92983.29,0,0.000113126572493851,2.62664691167394e-05,8.11458833234728e-05,0.000335397859674201,186494,0.0783724945574657,5.56444711358006,11.9909916672922,130.725320921853,0.00140613114289108,0.0998353111452666,0.215138064862335,2.34542674634232,"1","3",-0.767813445261349,2.08933351349303,3.13327017881117,70,1.15492957746479,9.90196078431373
"56",55,17143004500,17143,5481,0.79428273721575,0.000830980729072,170560,0.186202647156445,0,1,14,2.77014332619937,31193605,3,213,459,5004,64248.232,0,0.000120170920997015,2.79020721260674e-05,8.59803041355199e-05,0.000356394993555495,186494,0.0881690563771489,6.26000300277757,13.4898656257038,147.065986037084,0.00732066255300776,0.519767041263551,1.12006137061019,12.2108651384169,"1","2",-0.767813445261349,2.08150246859957,3.14507714457203,70,1.15492957746479,9.90196078431373
"57",56,17143003800,17143,3275,0.0520501424491,0.0155860312507,170560,0.00949836595872,0,6,33,1.89791629893748,290937821,3,213,459,5004,69339.842,0,3.23423445315225e-05,7.50945754894466e-06,2.34892882863568e-05,9.59091074592209e-05,186494,0.0526826600319581,3.74046886226903,8.06044698488959,87.8746769333062,0.000468993989897145,0.0332985732826973,0.0717560804542633,0.782281975148439,"1","3",-0.767813445261349,2.1279607259592,3.08309976402851,70,1.15492957746479,9.90196078431372
"58",57,17143000100,17143,1087,1.18617317026,0.000432499508953,170560,0.450680330557,0,0,4,1.54740879741173,3660532,3,213,459,5004,12433.841,0,1.02318532789483e-06,2.37569876143037e-07,7.31603931326379e-07,3.02795037873383e-06,186494,0.0174858172380881,1.24149302390425,2.67533003742748,29.1663431531309,0.0123720450051108,0.878415195362865,1.89292288578195,20.6365710685248,"1","1",-0.76781344526135,2.0795315601625,3.13878363562678,70,1.15492957746479,9.90196078431372
"59",58,17143000300,17143,2332,9.71922709462667,3.5153098441e-05,170560,0.470373690684333,0,0,8,2.07501389982046,990420,3,213,459,5004,20526.518,0,6.33043163808248e-06,1.46984111205492e-06,4.53108312028474e-06,1.87450370943466e-05,186494,0.0375132712044355,2.66344225551492,5.73953049427864,62.5721363689985,0.0980991623952344,6.96504053006164,15.0091718464709,163.629402875251,"3","1",-0.767813445261349,2.08270266978043,3.13698813213751,70,1.15492957746479,9.90196078431373
"60",59,17115002300,17115,2978,0.146790192024,0.00864549425485,45742,0.045841127798,0,2,10,2.20741651129046,82153000,0,174,210,3626,71109.415,0,0,0,0,0,110768,0,4.67799364437383,5.6458543983822,97.4850859453994,0,0.147480962824586,0.177994265477949,3.07336765058591,"1","3",0,0,0,Inf,0.206896551724138,16.2666666666667
"61",60,17143003200,17143,4303,5.56152580727,0.00016933159791,170560,2.444038223965,0,1,9,2.94917716321973,3169974,3,213,459,5004,77604.026,0,0.000167048895119675,3.87865074307355e-05,0.000119726032119904,0.000494175469411217,186494,0.0692193850740506,4.9145763402576,10.5905659163297,115.457934303516,0.0565551033988894,4.01541234132115,8.65293082003008,94.3339124693476,"2","3",-0.767813445261349,2.08679590019053,3.12755238490079,70,1.15492957746479,9.90196078431373
